,pval,target,fdr_p
19,7.647775473526957e-06,AURKA,0.00011420678040466923
20,2.164828822828887e-07,AURKB,1.0371658217147187e-05
21,1.4149097451166653e-08,AURKC,1.0564659430204435e-06
34,9.388511440059087e-07,BRD2,2.6287832032165446e-05
35,9.388511440059087e-07,BRD3,2.6287832032165446e-05
36,9.388511440059087e-07,BRD4,2.6287832032165446e-05
37,0.002292536659628142,BRD6,0.023342191443486537
55,1.2349643297694368e-06,CRM1,2.7663200986835383e-05
80,0.00022630457252462337,FGFR,0.0026680118023955594
82,0.00497127811228992,FLT1,0.04124319619084971
86,6.656788513042628e-06,FRAP,0.00010650861620868205
116,8.248726807845919e-06,HSP90,0.00011548217530984287
143,1.5715903939898968e-18,MEK,3.520362482537369e-16
146,2.556199142176423e-09,MTOR,2.8629430392375936e-07
147,0.0026372028592795446,MTORC1,0.02461389335327575
148,0.0026372028592795446,MTORC2,0.02461389335327575
167,2.479069374995138e-05,PIK3CA,0.0003266538470581829
168,1.7506079408785786e-06,PIK3CB,3.016432144283089e-05
169,1.7506079408785786e-06,PIK3CD,3.016432144283089e-05
170,1.7506079408785786e-06,PIK3CG,3.016432144283089e-05
177,2.3151022806132116e-07,PLK1,1.0371658217147187e-05
185,9.561315068119999e-05,PSMB5,0.0011898525418104885
191,0.0057428978413307345,RASGAP,0.045943182730645876
199,0.004355666222964593,RTK,0.03752573976707957
204,0.003983392419436742,SMO,0.03569119607815321
208,0.0016111296767798548,SYK,0.018044652379934373
219,0.001979552755306398,VEGFR,0.021115229389934913
222,1.2349643297694368e-06,XPO1,2.7663200986835383e-05
